Identification,Date,Zone,ID,Recovery_T,abundance
Lepetodrilus pustulosus,22,H,103,17.9,0
Lepetodrilus pustulosus,22,H,129,14.7,0
Lepetodrilus pustulosus,22,W,110,5.8,0
Lepetodrilus pustulosus,22,W,111,2.9,0
Lepetodrilus pustulosus,22,W,109,2.3,0
Lepetodrilus pustulosus,22,C,73,2.4,3
Lepetodrilus pustulosus,22,C,64,2.1,0
Lepetodrilus pustulosus,22,C,113,2,0
Lepetodrilus pustulosus,33,H,S139,2.3,1
Lepetodrilus pustulosus,33,H,S133,4.2,0
Lepetodrilus pustulosus,33,W,138,2.9,0
Lepetodrilus pustulosus,33,W,132,,0
Lepetodrilus pustulosus,96,W,156,3.1,0
Lepetodrilus pustulosus,96,W,158,2.6,0
Lepetodrilus pustulosus,96,W,159,,0
Lepetodrilus pustulosus,108,H,83,2.6,0
Lepetodrilus pustulosus,108,H,164,2.6,0
Lepetodrilus pustulosus,108,H,174,2.7,0
Lepetodrilus pustulosus,108,C,170,1.9,0
Lepetodrilus pustulosus,108,C,171,2.1,0
Lepetodrilus pustulosus,108,C,172,1.9,0
Lepetodrilus pustulosus,135,W,183,,0
Lepetodrilus pustulosus,135,W,184,,0
Lepetodrilus pustulosus,135,W,186,,0
Lepetodrilus pustulosus,135,C,180,2,0
Lepetodrilus pustulosus,135,C,182,2,0
Lepetodrilus pustulosus,135,C,187,2,0
Lepetodrilus pustulosus,Pre,H,215,,0
Lepetodrilus pustulosus,Pre,H,187,3.1,0
Lepetodrilus pustulosus,Pre,H,236,,0
Lepetodrilus pustulosus,Pre,W,184,2,0
Lepetodrilus pustulosus,Pre,W,232,,0
Lepetodrilus pustulosus,Pre,W,224,2.5,0
Lepetodrilus pustulosus,Pre,C,201,2.3,0
Lepetodrilus pustulosus,Pre,C,204,2,0
Lepetodrilus pustulosus,Pre,C,199,2,0
Lepetodrilus tevnianus,9,H,2,26.7,1
Lepetodrilus tevnianus,9,H,3,23.2,0
Lepetodrilus tevnianus,9,H,4,24.7,21
Lepetodrilus tevnianus,9,W,6,2.2,378
Lepetodrilus tevnianus,9,W,7,2.2,1268
Lepetodrilus tevnianus,9,W,19,6.5,1557
Lepetodrilus tevnianus,11,H,30,18.5,52
Lepetodrilus tevnianus,11,H,34,27,0
Lepetodrilus tevnianus,11,H,29,28,19
Lepetodrilus tevnianus,11,W,23,9.6,466
Lepetodrilus tevnianus,11,W,24,7,928
Lepetodrilus tevnianus,11,W,26,9,769
Lepetodrilus tevnianus,11,C,27,3.3,18
Lepetodrilus tevnianus,11,C,31,3.3,56
Lepetodrilus tevnianus,11,C,35,3.7,556
Lepetodrilus tevnianus,22,H,96,10,433
Lepetodrilus tevnianus,22,H,103,17.9,278
Lepetodrilus tevnianus,22,H,129,14.7,8
Lepetodrilus tevnianus,22,W,110,5.8,33
Lepetodrilus tevnianus,22,W,111,2.9,217
Lepetodrilus tevnianus,22,W,109,2.3,97
Lepetodrilus tevnianus,22,C,73,2.4,106
Lepetodrilus tevnianus,22,C,64,2.1,2
Lepetodrilus tevnianus,22,C,113,2,7
Lepetodrilus tevnianus,33,H,S139,2.3,76
Lepetodrilus tevnianus,33,H,S133,4.2,37
Lepetodrilus tevnianus,33,W,138,2.9,1
Lepetodrilus tevnianus,33,W,132,,38
Lepetodrilus tevnianus,96,W,156,3.1,1
Lepetodrilus tevnianus,96,W,158,2.6,0
Lepetodrilus tevnianus,96,W,159,,0
Lepetodrilus tevnianus,108,H,83,2.6,0
Lepetodrilus tevnianus,108,H,164,2.6,0
Lepetodrilus tevnianus,108,H,174,2.7,0
Lepetodrilus tevnianus,108,C,170,1.9,0
Lepetodrilus tevnianus,108,C,171,2.1,0
Lepetodrilus tevnianus,108,C,172,1.9,0
Lepetodrilus tevnianus,135,W,183,,0
Lepetodrilus tevnianus,135,W,184,,0
Lepetodrilus tevnianus,135,W,186,,0
Lepetodrilus tevnianus,135,C,180,2,0
Lepetodrilus tevnianus,135,C,182,2,0
Lepetodrilus tevnianus,135,C,187,2,0
Lepetodrilus tevnianus,Pre,H,215,,0
Lepetodrilus tevnianus,Pre,H,187,3.1,0
Lepetodrilus tevnianus,Pre,H,236,,0
Lepetodrilus tevnianus,Pre,W,184,2,0
Lepetodrilus tevnianus,Pre,W,232,,0
Lepetodrilus tevnianus,Pre,W,224,2.5,0
Lepetodrilus tevnianus,Pre,C,201,2.3,0
Lepetodrilus tevnianus,Pre,C,204,2,0
Lepetodrilus tevnianus,Pre,C,199,2,0
Lepetodrilus spp.,9,H,2,26.7,0
Lepetodrilus spp.,9,H,3,23.2,0
Lepetodrilus spp.,9,H,4,24.7,1
Lepetodrilus spp.,9,W,6,2.2,1738
Lepetodrilus spp.,9,W,7,2.2,633
Lepetodrilus spp.,9,W,19,6.5,1056
Lepetodrilus spp.,11,H,30,18.5,0
Lepetodrilus spp.,11,H,34,27,0
Lepetodrilus spp.,11,H,29,28,0
Lepetodrilus spp.,11,W,23,9.6,282
Lepetodrilus spp.,11,W,24,7,428
Lepetodrilus spp.,11,W,26,9,291
Lepetodrilus spp.,11,C,27,3.3,268
Lepetodrilus spp.,11,C,31,3.3,465
Lepetodrilus spp.,11,C,35,3.7,527
Lepetodrilus spp.,22,H,96,10,196
Lepetodrilus spp.,22,H,103,17.9,101
Lepetodrilus spp.,22,H,129,14.7,1
Lepetodrilus spp.,22,W,110,5.8,2584
Lepetodrilus spp.,22,W,111,2.9,9464
Lepetodrilus spp.,22,W,109,2.3,5373
Lepetodrilus spp.,22,C,73,2.4,8567
Lepetodrilus spp.,22,C,64,2.1,204
Lepetodrilus spp.,22,C,113,2,308
Lepetodrilus spp.,33,H,S139,2.3,1155
Lepetodrilus spp.,33,H,S133,4.2,1522
Lepetodrilus spp.,33,W,138,2.9,256
Lepetodrilus spp.,33,W,132,,513
Lepetodrilus spp.,96,W,156,3.1,5
Lepetodrilus spp.,96,W,158,2.6,1
Lepetodrilus spp.,96,W,159,,16
Lepetodrilus spp.,108,H,83,2.6,31
Lepetodrilus spp.,108,H,164,2.6,30
Lepetodrilus spp.,108,H,174,2.7,13
Lepetodrilus spp.,108,C,170,1.9,1
Lepetodrilus spp.,108,C,171,2.1,30
Lepetodrilus spp.,108,C,172,1.9,6
Lepetodrilus spp.,135,W,183,,0
Lepetodrilus spp.,135,W,184,,3
Lepetodrilus spp.,135,W,186,,0
Lepetodrilus spp.,135,C,180,2,1
Lepetodrilus spp.,135,C,182,2,0
Lepetodrilus spp.,135,C,187,2,0
Lepetodrilus spp.,Pre,H,215,,0
Lepetodrilus spp.,Pre,H,187,3.1,0
Lepetodrilus spp.,Pre,H,236,,0
Lepetodrilus spp.,Pre,W,184,2,0
Lepetodrilus spp.,Pre,W,232,,0
Lepetodrilus spp.,Pre,W,224,2.5,0
Lepetodrilus spp.,Pre,C,201,2.3,0
Lepetodrilus spp.,Pre,C,204,2,0
Lepetodrilus spp.,Pre,C,199,2,0
Melanodrymia sp.,9,H,2,26.7,0
Melanodrymia sp.,9,H,3,23.2,0
Melanodrymia sp.,9,H,4,24.7,0
Melanodrymia sp.,9,W,6,2.2,0
Melanodrymia sp.,9,W,7,2.2,0
Melanodrymia sp.,9,W,19,6.5,0
Melanodrymia sp.,11,H,30,18.5,0
Melanodrymia sp.,11,H,34,27,0
Melanodrymia sp.,11,H,29,28,0
Melanodrymia sp.,11,W,23,9.6,0
Melanodrymia sp.,11,W,24,7,0
Melanodrymia sp.,11,W,26,9,0
Melanodrymia sp.,11,C,27,3.3,0
Melanodrymia sp.,11,C,31,3.3,0
Melanodrymia sp.,11,C,35,3.7,0
Melanodrymia sp.,22,H,96,10,0
Melanodrymia sp.,22,H,103,17.9,0
Melanodrymia sp.,22,H,129,14.7,0
Melanodrymia sp.,22,W,110,5.8,0
Melanodrymia sp.,22,W,111,2.9,0
Melanodrymia sp.,22,W,109,2.3,0
Melanodrymia sp.,22,C,73,2.4,0
Melanodrymia sp.,22,C,64,2.1,0
Melanodrymia sp.,22,C,113,2,0
Melanodrymia sp.,33,H,S139,2.3,0
Melanodrymia sp.,33,H,S133,4.2,0
Melanodrymia sp.,33,W,138,2.9,0
Melanodrymia sp.,33,W,132,,0
Melanodrymia sp.,96,W,156,3.1,0
Melanodrymia sp.,96,W,158,2.6,0
Melanodrymia sp.,96,W,159,,0
Melanodrymia sp.,108,H,83,2.6,0
Melanodrymia sp.,108,H,164,2.6,0
Melanodrymia sp.,108,H,174,2.7,0
Melanodrymia sp.,108,C,170,1.9,0
Melanodrymia sp.,108,C,171,2.1,0
Melanodrymia sp.,108,C,172,1.9,0
Melanodrymia sp.,135,W,183,,0
Melanodrymia sp.,135,W,184,,0
Melanodrymia sp.,135,W,186,,1
Melanodrymia sp.,135,C,180,2,0
Melanodrymia sp.,135,C,182,2,0
Melanodrymia sp.,135,C,187,2,0
Melanodrymia sp.,Pre,H,215,,0
Melanodrymia sp.,Pre,H,187,3.1,0
Melanodrymia sp.,Pre,H,236,,0
Melanodrymia sp.,Pre,W,184,2,0
Melanodrymia sp.,Pre,W,232,,0
Melanodrymia sp.,Pre,W,224,2.5,0
Melanodrymia sp.,Pre,C,201,2.3,0
Melanodrymia sp.,Pre,C,204,2,0
Melanodrymia sp.,Pre,C,199,2,0
Pachydermia laevis,9,H,2,26.7,0
Pachydermia laevis,9,H,3,23.2,0
Pachydermia laevis,9,H,4,24.7,0
Pachydermia laevis,9,W,6,2.2,2
Pachydermia laevis,9,W,7,2.2,0
Pachydermia laevis,9,W,19,6.5,0
Pachydermia laevis,11,H,30,18.5,0
Pachydermia laevis,11,H,34,27,0
Pachydermia laevis,11,H,29,28,0
Pachydermia laevis,11,W,23,9.6,0
Pachydermia laevis,11,W,24,7,0
Pachydermia laevis,11,W,26,9,0
Pachydermia laevis,11,C,27,3.3,0
Pachydermia laevis,11,C,31,3.3,1
Pachydermia laevis,11,C,35,3.7,1
Pachydermia laevis,22,H,96,10,0
Pachydermia laevis,22,H,103,17.9,0
Pachydermia laevis,22,H,129,14.7,0
Pachydermia laevis,22,W,110,5.8,6
Pachydermia laevis,22,W,111,2.9,1
Pachydermia laevis,22,W,109,2.3,18
Pachydermia laevis,22,C,73,2.4,19
Pachydermia laevis,22,C,64,2.1,0
Pachydermia laevis,22,C,113,2,1
Pachydermia laevis,33,H,S139,2.3,0
Pachydermia laevis,33,H,S133,4.2,2
Pachydermia laevis,33,W,138,2.9,0
Pachydermia laevis,33,W,132,,4
Pachydermia laevis,96,W,156,3.1,0
Pachydermia laevis,96,W,158,2.6,0
Pachydermia laevis,96,W,159,,0
Pachydermia laevis,108,H,83,2.6,0
Pachydermia laevis,108,H,164,2.6,0
Pachydermia laevis,108,H,174,2.7,0
Pachydermia laevis,108,C,170,1.9,0
Pachydermia laevis,108,C,171,2.1,1
Pachydermia laevis,108,C,172,1.9,1
Pachydermia laevis,135,W,183,,0
Pachydermia laevis,135,W,184,,0
Pachydermia laevis,135,W,186,,0
Pachydermia laevis,135,C,180,2,1
Pachydermia laevis,135,C,182,2,0
Pachydermia laevis,135,C,187,2,0
Pachydermia laevis,Pre,H,215,,0
Pachydermia laevis,Pre,H,187,3.1,0
Pachydermia laevis,Pre,H,236,,0
Pachydermia laevis,Pre,W,184,2,0
Pachydermia laevis,Pre,W,232,,0
Pachydermia laevis,Pre,W,224,2.5,0
Pachydermia laevis,Pre,C,201,2.3,0
Pachydermia laevis,Pre,C,204,2,0
Pachydermia laevis,Pre,C,199,2,0
Peltospira delicata,9,H,2,26.7,0
Peltospira delicata,9,H,3,23.2,0
Peltospira delicata,9,H,4,24.7,0
Peltospira delicata,9,W,6,2.2,0
Peltospira delicata,9,W,7,2.2,0
Peltospira delicata,9,W,19,6.5,0
Peltospira delicata,11,H,30,18.5,0
Peltospira delicata,11,H,34,27,0
Peltospira delicata,11,H,29,28,0
Peltospira delicata,11,W,23,9.6,0
Peltospira delicata,11,W,24,7,0
Peltospira delicata,11,W,26,9,0
Peltospira delicata,11,C,27,3.3,0
Peltospira delicata,11,C,31,3.3,0
Peltospira delicata,11,C,35,3.7,0
Peltospira delicata,22,H,96,10,0
Peltospira delicata,22,H,103,17.9,0
Peltospira delicata,22,H,129,14.7,0
Peltospira delicata,22,W,110,5.8,0
Peltospira delicata,22,W,111,2.9,0
Peltospira delicata,22,W,109,2.3,0
Peltospira delicata,22,C,73,2.4,0
Peltospira delicata,22,C,64,2.1,0
Peltospira delicata,22,C,113,2,0
Peltospira delicata,33,H,S139,2.3,0
Peltospira delicata,33,H,S133,4.2,0
Peltospira delicata,33,W,138,2.9,0
Peltospira delicata,33,W,132,,0
Peltospira delicata,96,W,156,3.1,1
Peltospira delicata,96,W,158,2.6,0
Peltospira delicata,96,W,159,,0
Peltospira delicata,108,H,83,2.6,0
Peltospira delicata,108,H,164,2.6,0
Peltospira delicata,108,H,174,2.7,0
Peltospira delicata,108,C,170,1.9,1
Peltospira delicata,108,C,171,2.1,2
Peltospira delicata,108,C,172,1.9,0
Peltospira delicata,135,W,183,,0
Peltospira delicata,135,W,184,,0
Peltospira delicata,135,W,186,,0
Peltospira delicata,135,C,180,2,0
Peltospira delicata,135,C,182,2,0
Peltospira delicata,135,C,187,2,0
Peltospira delicata,Pre,H,215,,0
Peltospira delicata,Pre,H,187,3.1,0
Peltospira delicata,Pre,H,236,,0
Peltospira delicata,Pre,W,184,2,0
Peltospira delicata,Pre,W,232,,0
Peltospira delicata,Pre,W,224,2.5,0
Peltospira delicata,Pre,C,201,2.3,0
Peltospira delicata,Pre,C,204,2,0
Peltospira delicata,Pre,C,199,2,0
Phymorhynchus major,9,H,2,26.7,0
Phymorhynchus major,9,H,3,23.2,0
Phymorhynchus major,9,H,4,24.7,0
Phymorhynchus major,9,W,6,2.2,0
Phymorhynchus major,9,W,7,2.2,0
Phymorhynchus major,9,W,19,6.5,0
Phymorhynchus major,11,H,30,18.5,0
Phymorhynchus major,11,H,34,27,0
Phymorhynchus major,11,H,29,28,0
Phymorhynchus major,11,W,23,9.6,0
Phymorhynchus major,11,W,24,7,0
Phymorhynchus major,11,W,26,9,0
Phymorhynchus major,11,C,27,3.3,0
Phymorhynchus major,11,C,31,3.3,0
Phymorhynchus major,11,C,35,3.7,0
Phymorhynchus major,22,H,96,10,0
Phymorhynchus major,22,H,103,17.9,0
Phymorhynchus major,22,H,129,14.7,0
Phymorhynchus major,22,W,110,5.8,0
Phymorhynchus major,22,W,111,2.9,0
Phymorhynchus major,22,W,109,2.3,0
Phymorhynchus major,22,C,73,2.4,0
Phymorhynchus major,22,C,64,2.1,0
Phymorhynchus major,22,C,113,2,0
Phymorhynchus major,33,H,S139,2.3,0
Phymorhynchus major,33,H,S133,4.2,0
Phymorhynchus major,33,W,138,2.9,0
Phymorhynchus major,33,W,132,,0
Phymorhynchus major,96,W,156,3.1,0
Phymorhynchus major,96,W,158,2.6,0
Phymorhynchus major,96,W,159,,0
Phymorhynchus major,108,H,83,2.6,0
Phymorhynchus major,108,H,164,2.6,0
Phymorhynchus major,108,H,174,2.7,0
Phymorhynchus major,108,C,170,1.9,0
Phymorhynchus major,108,C,171,2.1,0
Phymorhynchus major,108,C,172,1.9,0
Phymorhynchus major,135,W,183,,0
Phymorhynchus major,135,W,184,,0
Phymorhynchus major,135,W,186,,0
Phymorhynchus major,135,C,180,2,1
Phymorhynchus major,135,C,182,2,0
Phymorhynchus major,135,C,187,2,20
Phymorhynchus major,Pre,H,215,,0
Phymorhynchus major,Pre,H,187,3.1,0
Phymorhynchus major,Pre,H,236,,0
Phymorhynchus major,Pre,W,184,2,0
Phymorhynchus major,Pre,W,232,,0
Phymorhynchus major,Pre,W,224,2.5,0
Phymorhynchus major,Pre,C,201,2.3,0
Phymorhynchus major,Pre,C,204,2,0
Phymorhynchus major,Pre,C,199,2,0
Planorbidella planispira,9,H,2,26.7,0
Planorbidella planispira,9,H,3,23.2,0
Planorbidella planispira,9,H,4,24.7,0
Planorbidella planispira,9,W,6,2.2,1
Planorbidella planispira,9,W,7,2.2,0
Planorbidella planispira,9,W,19,6.5,0
Planorbidella planispira,11,H,30,18.5,0
Planorbidella planispira,11,H,34,27,0
Planorbidella planispira,11,H,29,28,0
Planorbidella planispira,11,W,23,9.6,0
Planorbidella planispira,11,W,24,7,0
Planorbidella planispira,11,W,26,9,0
Planorbidella planispira,11,C,27,3.3,0
Planorbidella planispira,11,C,31,3.3,0
Planorbidella planispira,11,C,35,3.7,0
Planorbidella planispira,22,H,96,10,0
Planorbidella planispira,22,H,103,17.9,0
Planorbidella planispira,22,H,129,14.7,0
Planorbidella planispira,22,W,110,5.8,0
Planorbidella planispira,22,W,111,2.9,0
Planorbidella planispira,22,W,109,2.3,0
Planorbidella planispira,22,C,73,2.4,0
Planorbidella planispira,22,C,64,2.1,0
Planorbidella planispira,22,C,113,2,0
Planorbidella planispira,33,H,S139,2.3,0
Planorbidella planispira,33,H,S133,4.2,0
Planorbidella planispira,33,W,138,2.9,0
Planorbidella planispira,33,W,132,,0
Planorbidella planispira,96,W,156,3.1,0
Planorbidella planispira,96,W,158,2.6,0
Planorbidella planispira,96,W,159,,0
Planorbidella planispira,108,H,83,2.6,0
Planorbidella planispira,108,H,164,2.6,0
Planorbidella planispira,108,H,174,2.7,0
Planorbidella planispira,108,C,170,1.9,1
Planorbidella planispira,108,C,171,2.1,0
Planorbidella planispira,108,C,172,1.9,0
Planorbidella planispira,135,W,183,,0
Planorbidella planispira,135,W,184,,0
Planorbidella planispira,135,W,186,,0
Planorbidella planispira,135,C,180,2,0
Planorbidella planispira,135,C,182,2,0
Planorbidella planispira,135,C,187,2,0
Planorbidella planispira,Pre,H,215,,0
Planorbidella planispira,Pre,H,187,3.1,0
Planorbidella planispira,Pre,H,236,,0
Planorbidella planispira,Pre,W,184,2,0
Planorbidella planispira,Pre,W,232,,0
Planorbidella planispira,Pre,W,224,2.5,0
Planorbidella planispira,Pre,C,201,2.3,0
Planorbidella planispira,Pre,C,204,2,0
Planorbidella planispira,Pre,C,199,2,0
Provanna sp.,9,H,2,26.7,0
Provanna sp.,9,H,3,23.2,0
Provanna sp.,9,H,4,24.7,0
Provanna sp.,9,W,6,2.2,0
Provanna sp.,9,W,7,2.2,0
Provanna sp.,9,W,19,6.5,0
Provanna sp.,11,H,30,18.5,0
Provanna sp.,11,H,34,27,0
Provanna sp.,11,H,29,28,0
Provanna sp.,11,W,23,9.6,0
Provanna sp.,11,W,24,7,0
Provanna sp.,11,W,26,9,0
Provanna sp.,11,C,27,3.3,0
Provanna sp.,11,C,31,3.3,0
Provanna sp.,11,C,35,3.7,0
Provanna sp.,22,H,96,10,0
Provanna sp.,22,H,103,17.9,0
Provanna sp.,22,H,129,14.7,0
Provanna sp.,22,W,110,5.8,0
Provanna sp.,22,W,111,2.9,0
Provanna sp.,22,W,109,2.3,0
Provanna sp.,22,C,73,2.4,0
Provanna sp.,22,C,64,2.1,0
Provanna sp.,22,C,113,2,0
Provanna sp.,33,H,S139,2.3,0
Provanna sp.,33,H,S133,4.2,0
Provanna sp.,33,W,138,2.9,0
Provanna sp.,33,W,132,,0
Provanna sp.,96,W,156,3.1,0
Provanna sp.,96,W,158,2.6,2
Provanna sp.,96,W,159,,1
Provanna sp.,108,H,83,2.6,0
Provanna sp.,108,H,164,2.6,0
Provanna sp.,108,H,174,2.7,0
Provanna sp.,108,C,170,1.9,0
Provanna sp.,108,C,171,2.1,1
Provanna sp.,108,C,172,1.9,0
Provanna sp.,135,W,183,,0
Provanna sp.,135,W,184,,0
Provanna sp.,135,W,186,,0
Provanna sp.,135,C,180,2,0
Provanna sp.,135,C,182,2,0
Provanna sp.,135,C,187,2,0
Provanna sp.,Pre,H,215,,1
Provanna sp.,Pre,H,187,3.1,0
Provanna sp.,Pre,H,236,,0
Provanna sp.,Pre,W,184,2,1
Provanna sp.,Pre,W,232,,0
Provanna sp.,Pre,W,224,2.5,1
Provanna sp.,Pre,C,201,2.3,0
Provanna sp.,Pre,C,204,2,0
Provanna sp.,Pre,C,199,2,0
Rhynchopelta concentrica,9,H,2,26.7,0
Rhynchopelta concentrica,9,H,3,23.2,0
Rhynchopelta concentrica,9,H,4,24.7,0
Rhynchopelta concentrica,9,W,6,2.2,0
Rhynchopelta concentrica,9,W,7,2.2,1
Rhynchopelta concentrica,9,W,19,6.5,0
Rhynchopelta concentrica,11,H,30,18.5,0
Rhynchopelta concentrica,11,H,34,27,0
Rhynchopelta concentrica,11,H,29,28,0
Rhynchopelta concentrica,11,W,23,9.6,0
Rhynchopelta concentrica,11,W,24,7,0
Rhynchopelta concentrica,11,W,26,9,0
Rhynchopelta concentrica,11,C,27,3.3,0
Rhynchopelta concentrica,11,C,31,3.3,0
Rhynchopelta concentrica,11,C,35,3.7,0
Rhynchopelta concentrica,22,H,96,10,2
Rhynchopelta concentrica,22,H,103,17.9,3
Rhynchopelta concentrica,22,H,129,14.7,0
Rhynchopelta concentrica,22,W,110,5.8,0
Rhynchopelta concentrica,22,W,111,2.9,0
Rhynchopelta concentrica,22,W,109,2.3,0
Rhynchopelta concentrica,22,C,73,2.4,0
Rhynchopelta concentrica,22,C,64,2.1,0
Rhynchopelta concentrica,22,C,113,2,0
Rhynchopelta concentrica,33,H,S139,2.3,1
Rhynchopelta concentrica,33,H,S133,4.2,0
Rhynchopelta concentrica,33,W,138,2.9,0
Rhynchopelta concentrica,33,W,132,,0
Rhynchopelta concentrica,96,W,156,3.1,0
Rhynchopelta concentrica,96,W,158,2.6,0
Rhynchopelta concentrica,96,W,159,,0
Rhynchopelta concentrica,108,H,83,2.6,0
Rhynchopelta concentrica,108,H,164,2.6,0
Rhynchopelta concentrica,108,H,174,2.7,0
Rhynchopelta concentrica,108,C,170,1.9,0
Rhynchopelta concentrica,108,C,171,2.1,0
Rhynchopelta concentrica,108,C,172,1.9,0
Rhynchopelta concentrica,135,W,183,,0
Rhynchopelta concentrica,135,W,184,,0
Rhynchopelta concentrica,135,W,186,,0
Rhynchopelta concentrica,135,C,180,2,0
Rhynchopelta concentrica,135,C,182,2,0
Rhynchopelta concentrica,135,C,187,2,0
Rhynchopelta concentrica,Pre,H,215,,1
Rhynchopelta concentrica,Pre,H,187,3.1,0
Rhynchopelta concentrica,Pre,H,236,,0
Rhynchopelta concentrica,Pre,W,184,2,0
Rhynchopelta concentrica,Pre,W,232,,0
Rhynchopelta concentrica,Pre,W,224,2.5,0
Rhynchopelta concentrica,Pre,C,201,2.3,0
Rhynchopelta concentrica,Pre,C,204,2,0
Rhynchopelta concentrica,Pre,C,199,2,0
Sutilizona theca,9,H,2,26.7,0
Sutilizona theca,9,H,3,23.2,0
Sutilizona theca,9,H,4,24.7,0
Sutilizona theca,9,W,6,2.2,9
Sutilizona theca,9,W,7,2.2,0
Sutilizona theca,9,W,19,6.5,0
Sutilizona theca,11,H,30,18.5,0
Sutilizona theca,11,H,34,27,0
Sutilizona theca,11,H,29,28,0
Sutilizona theca,11,W,23,9.6,0
Sutilizona theca,11,W,24,7,0
Sutilizona theca,11,W,26,9,0
Sutilizona theca,11,C,27,3.3,1
Sutilizona theca,11,C,31,3.3,5
Sutilizona theca,11,C,35,3.7,0
Sutilizona theca,22,H,96,10,0
Sutilizona theca,22,H,103,17.9,0
Sutilizona theca,22,H,129,14.7,0
Sutilizona theca,22,W,110,5.8,0
Sutilizona theca,22,W,111,2.9,0
Sutilizona theca,22,W,109,2.3,1
Sutilizona theca,22,C,73,2.4,0
Sutilizona theca,22,C,64,2.1,0
Sutilizona theca,22,C,113,2,0
Sutilizona theca,33,H,S139,2.3,0
Sutilizona theca,33,H,S133,4.2,0
Sutilizona theca,33,W,138,2.9,0
Sutilizona theca,33,W,132,,0
Sutilizona theca,96,W,156,3.1,0
Sutilizona theca,96,W,158,2.6,0
Sutilizona theca,96,W,159,,0
Sutilizona theca,108,H,83,2.6,0
Sutilizona theca,108,H,164,2.6,0
Sutilizona theca,108,H,174,2.7,0
Sutilizona theca,108,C,170,1.9,0
Sutilizona theca,108,C,171,2.1,0
Sutilizona theca,108,C,172,1.9,0
Sutilizona theca,135,W,183,,0
Sutilizona theca,135,W,184,,0
Sutilizona theca,135,W,186,,0
Sutilizona theca,135,C,180,2,0
Sutilizona theca,135,C,182,2,0
Sutilizona theca,135,C,187,2,0
Sutilizona theca,Pre,H,215,,0
Sutilizona theca,Pre,H,187,3.1,0
Sutilizona theca,Pre,H,236,,0
Sutilizona theca,Pre,W,184,2,0
Sutilizona theca,Pre,W,232,,0
Sutilizona theca,Pre,W,224,2.5,0
Sutilizona theca,Pre,C,201,2.3,0
Sutilizona theca,Pre,C,204,2,0
Sutilizona theca,Pre,C,199,2,0
gastropod unk A,9,H,2,26.7,0
gastropod unk A,9,H,3,23.2,0
gastropod unk A,9,H,4,24.7,0
gastropod unk A,9,W,6,2.2,0
gastropod unk A,9,W,7,2.2,0
gastropod unk A,9,W,19,6.5,0
gastropod unk A,11,H,30,18.5,0
gastropod unk A,11,H,34,27,0
gastropod unk A,11,H,29,28,0
gastropod unk A,11,W,23,9.6,0
gastropod unk A,11,W,24,7,0
gastropod unk A,11,W,26,9,0
gastropod unk A,11,C,27,3.3,0
gastropod unk A,11,C,31,3.3,0
gastropod unk A,11,C,35,3.7,0
gastropod unk A,22,H,96,10,0
gastropod unk A,22,H,103,17.9,0
gastropod unk A,22,H,129,14.7,0
gastropod unk A,22,W,110,5.8,0
gastropod unk A,22,W,111,2.9,1
gastropod unk A,22,W,109,2.3,3
gastropod unk A,22,C,73,2.4,0
gastropod unk A,22,C,64,2.1,0
gastropod unk A,22,C,113,2,0
gastropod unk A,33,H,S139,2.3,0
gastropod unk A,33,H,S133,4.2,0
gastropod unk A,33,W,138,2.9,0
gastropod unk A,33,W,132,,0
gastropod unk A,96,W,156,3.1,0
gastropod unk A,96,W,158,2.6,0
gastropod unk A,96,W,159,,0
gastropod unk A,108,H,83,2.6,0
gastropod unk A,108,H,164,2.6,0
gastropod unk A,108,H,174,2.7,0
gastropod unk A,108,C,170,1.9,0
gastropod unk A,108,C,171,2.1,0
gastropod unk A,108,C,172,1.9,0
gastropod unk A,135,W,183,,0
gastropod unk A,135,W,184,,0
gastropod unk A,135,W,186,,0
gastropod unk A,135,C,180,2,0
gastropod unk A,135,C,182,2,0
gastropod unk A,135,C,187,2,0
gastropod unk A,Pre,H,215,,0
gastropod unk A,Pre,H,187,3.1,0
gastropod unk A,Pre,H,236,,0
gastropod unk A,Pre,W,184,2,0
gastropod unk A,Pre,W,232,,0
gastropod unk A,Pre,W,224,2.5,0
gastropod unk A,Pre,C,201,2.3,0
gastropod unk A,Pre,C,204,2,0
gastropod unk A,Pre,C,199,2,0
Bathymodiolus thermophilus,9,H,2,26.7,0
Bathymodiolus thermophilus,9,H,3,23.2,0
Bathymodiolus thermophilus,9,H,4,24.7,0
Bathymodiolus thermophilus,9,W,6,2.2,1
Bathymodiolus thermophilus,9,W,7,2.2,0
Bathymodiolus thermophilus,9,W,19,6.5,1
Bathymodiolus thermophilus,11,H,30,18.5,0
Bathymodiolus thermophilus,11,H,34,27,0
Bathymodiolus thermophilus,11,H,29,28,0
Bathymodiolus thermophilus,11,W,23,9.6,0
Bathymodiolus thermophilus,11,W,24,7,0
Bathymodiolus thermophilus,11,W,26,9,0
Bathymodiolus thermophilus,11,C,27,3.3,0
Bathymodiolus thermophilus,11,C,31,3.3,0
Bathymodiolus thermophilus,11,C,35,3.7,1
Bathymodiolus thermophilus,22,H,96,10,3
Bathymodiolus thermophilus,22,H,103,17.9,1
Bathymodiolus thermophilus,22,H,129,14.7,0
Bathymodiolus thermophilus,22,W,110,5.8,38
Bathymodiolus thermophilus,22,W,111,2.9,55
Bathymodiolus thermophilus,22,W,109,2.3,79
Bathymodiolus thermophilus,22,C,73,2.4,88
